Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	4.644284755	5.975103194	879.3	2506.0
1	Spectrogram 1	1	4.644284755	5.975103194	879.3	2506.0
2	Waveform 1	1	10.076196750	11.244057829	879.3	2330.2
2	Spectrogram 1	1	10.076196750	11.244057829	879.3	2330.2
3	Waveform 1	1	15.806863904	16.920405863	923.3	2462.1
3	Spectrogram 1	1	15.806863904	16.920405863	923.3	2462.1
4	Waveform 1	1	21.700488418	22.868349497	791.4	2462.1
4	Spectrogram 1	1	21.700488418	22.868349497	791.4	2462.1
5	Waveform 1	1	30.635983438	31.885323197	1055.2	2418.1
5	Spectrogram 1	1	30.635983438	31.885323197	1055.2	2418.1
6	Waveform 1	1	36.882682232	37.941905071	835.3	2506.0
6	Spectrogram 1	1	36.882682232	37.941905071	835.3	2506.0
7	Waveform 1	1	43.129381050	44.270082569	923.3	2506.0
7	Spectrogram 1	1	43.129381050	44.270082569	923.3	2506.0
8	Waveform 1	1	49.376079844	50.543940923	659.5	2593.9
8	Spectrogram 1	1	49.376079844	50.543940923	659.5	2593.9
9	Waveform 1	1	55.296863953	56.467355462	747.4	2374.1
9	Spectrogram 1	1	55.296863953	56.467355462	747.4	2374.1
10	Waveform 1	1	61.573352736	62.877011615	659.5	2418.1
10	Spectrogram 1	1	61.573352736	62.877011615	659.5	2418.1
11	Waveform 1	1	67.629934610	68.797795689	747.4	2242.2
11	Spectrogram 1	1	67.629934610	68.797795689	747.4	2242.2
12	Waveform 1	1	73.498601269	74.666462348	659.5	2198.3
12	Spectrogram 1	1	73.498601269	74.666462348	659.5	2198.3
