Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	4.616444487	5.708017568	1231.0	2198.3
1	Spectrogram 1	1	4.616444487	5.708017568	1231.0	2198.3
2	Waveform 1	1	14.258673367	15.350246447	1055.2	2330.2
2	Spectrogram 1	1	14.258673367	15.350246447	1055.2	2330.2
3	Waveform 1	1	27.443967854	28.558282041	967.2	2374.1
3	Spectrogram 1	1	27.443967854	28.558282041	967.2	2374.1
4	Waveform 1	1	36.972491205	37.927617650	1099.1	2242.2
4	Spectrogram 1	1	36.972491205	37.927617650	1099.1	2242.2
5	Waveform 1	1	46.547406019	47.820907947	923.3	2286.2
5	Spectrogram 1	1	46.547406019	47.820907947	923.3	2286.2
6	Waveform 1	1	54.165676478	55.279990665	1011.2	2418.1
6	Spectrogram 1	1	54.165676478	55.279990665	1011.2	2418.1
7	Waveform 1	1	61.545620130	62.728157634	1143.1	2418.1
7	Spectrogram 1	1	61.545620130	62.728157634	1143.1	2418.1
8	Waveform 1	1	69.868864870	70.983179057	967.2	2550.0
8	Spectrogram 1	1	69.868864870	70.983179057	967.2	2550.0
9	Waveform 1	1	76.029886760	77.235165370	967.2	2286.2
9	Spectrogram 1	1	76.029886760	77.235165370	967.2	2286.2
10	Waveform 1	1	83.807344960	84.921659147	923.3	2374.1
10	Spectrogram 1	1	83.807344960	84.921659147	923.3	2374.1
